
25 Jun 2025 | 17:55:43,785 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuData | null | Check same day, same week 1702227600 1750848943, 1750818025
25 Jun 2025 | 17:55:43,786 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuData | null | No need to reset ThienThuData due to same day
25 Jun 2025 | 17:55:43,786 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuMission | null | getMissionProgress: 1 type: 1 result: MissionProgress(1,0,false)
25 Jun 2025 | 17:55:43,786 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.MissionProgress | null | MissionProgress.isFullKPI: id=1, progress=0, kpi=1, result=false
25 Jun 2025 | 17:55:43,786 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuMission | null | updateMissionProgress: 1 type: 1 result: ThienThuMission(QuestMission(Map(1 -> MissionProgress(1,1,false), 40 -> MissionProgress(40,0,false), 42 -> MissionProgress(42,0,false), 48 -> MissionProgress(48,5,true))),QuestMission(HashMap(10 -> MissionProgress(10,1,false), 14 -> MissionProgress(14,1,false), 20 -> MissionProgress(20,0,false), 21 -> MissionProgress(21,0,false), 9 -> MissionProgress(9,0,false), 13 -> MissionProgress(13,0,false), 17 -> MissionProgress(17,0,false), 12 -> MissionProgress(12,0,false), 7 -> MissionProgress(7,0,false), 18 -> MissionProgress(18,0,false), 16 -> MissionProgress(16,0,false), 11 -> MissionProgress(11,0,false), 8 -> MissionProgress(8,0,false), 19 -> MissionProgress(19,0,false), 15 -> MissionProgress(15,0,false))),QuestMission(HashMap(56 -> MissionProgress(56,0,false), 57 -> MissionProgress(57,0,false), 61 -> MissionProgress(61,0,false), 60 -> MissionProgress(60,0,false), 65 -> MissionProgress(65,0,false), 53 -> MissionProgress(53,0,false), 64 -> MissionProgress(64,13,false), 59 -> MissionProgress(59,0,false), 54 -> MissionProgress(54,7,false), 66 -> MissionProgress(66,0,false), 63 -> MissionProgress(63,1,false), 67 -> MissionProgress(67,0,false), 55 -> MissionProgress(55,1,true), 58 -> MissionProgress(58,0,false), 68 -> MissionProgress(68,0,false), 62 -> MissionProgress(62,0,false))))
25 Jun 2025 | 17:55:43,787 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuMission | null | getMissionProgress: 1 type: 1 result: MissionProgress(1,1,false)
25 Jun 2025 | 17:55:43,787 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuData | null | UpdateLoginProgress: uid=QuestMission(Map(1 -> MissionProgress(1,0,false), 40 -> MissionProgress(40,0,false), 42 -> MissionProgress(42,0,false), 48 -> MissionProgress(48,5,true))), result=1
25 Jun 2025 | 17:55:43,829 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuData | null | Check same day, same week 1702227600 1750848943, 1750818025
25 Jun 2025 | 17:55:43,830 | INFO  | application-akka.actor.default-dispatcher-12 | cb.thienThu.ThienThuData | null | No need to reset ThienThuData due to same day
25 Jun 2025 | 17:55:43,889 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.EnableFeaturesHandler | null | 100025452: enableChallenge =false
25 Jun 2025 | 17:55:53,388 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.SD | null | <- GetProgressTTDataReq  100025452  {}
25 Jun 2025 | 17:55:53,443 | INFO  | application-akka.actor.default-dispatcher-8 | cb.thienThu.ThienThuData | null | Check same day, same week 1702227600 1750848953, 1750818025
25 Jun 2025 | 17:55:53,443 | INFO  | application-akka.actor.default-dispatcher-8 | cb.thienThu.ThienThuData | null | No need to reset ThienThuData due to same day
