17 Apr 2025 | 17:53:56,767 | INFO  | application-akka.actor.default-dispatcher-12 | akka.actor.RepointableActorRef | null | Message [com.sandinh.paho.akka.Message] from Actor[akka://application/user/mqtt/login1#-749259916] to Actor[akka://application/user/loginPrevent#208731153] was unhandled. [3] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17 Apr 2025 | 17:53:57,120 | INFO  | cb-io-4-2 | core.node.Node | null | Connected to Node cb1
17 Apr 2025 | 17:53:57,158 | INFO  | cb-io-4-1 | core.node.Node | null | Connected to Node cb2
17 Apr 2025 | 17:53:57,174 | INFO  | cb-computations-6 | core.config.ConfigurationProvider | null | Selected network configuration: default
17 Apr 2025 | 17:53:57,176 | INFO  | cb-computations-6 | core.config.ConfigurationProvider | null | Opened bucket acc
17 Apr 2025 | 17:53:57,185 | INFO  | cb-io-4-1 | core.node.Node | null | Disconnected from Node cb2
17 Apr 2025 | 17:53:57,186 | INFO  | cb-io-4-2 | core.node.Node | null | Disconnected from Node cb1
17 Apr 2025 | 17:53:57,505 | INFO  | cb-io-4-3 | core.node.Node | null | Connected to Node 128.199.246.136
17 Apr 2025 | 17:53:57,525 | INFO  | cb-io-4-1 | core.node.Node | null | Connected to Node 139.59.102.208
17 Apr 2025 | 17:53:57,572 | INFO  | SFSWorker:Ext:4 | v2.api.SFSApi | null | User login: { Zone: sfsak }, ( User Name: 4728208, Id: 0, Priv: 0, Sess: 171.241.27.183:59748 ) , Type: unity-DesktopC10:1.0.7
17 Apr 2025 | 17:53:57,626 | DEBUG | application-akka.actor.default-dispatcher-12 | sd.SD | null | <- GetRemainAdsByDeviceIDReq  4728208  {"d":"6957A885-3945-3445-5177-00000000B595"}
17 Apr 2025 | 17:53:57,628 | INFO  | application-akka.actor.default-dispatcher-12 | sd.free.FreeCoinActor | null | Get ads remain per device 4728208 6957A885-3945-3445-5177-00000000B595 LimitAdsPerDevice(1744887237,15)
17 Apr 2025 | 17:53:57,631 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.cmd.Cmd | null | -> RemainAdsByDeviceCmd 4728208 : {"r":15}
17 Apr 2025 | 17:53:57,721 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.SD | null | <- GetProgressTTDataReq  4728208  {}
17 Apr 2025 | 17:53:57,850 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> VuongGiaCfgCmd 4728208 : {"cfg":[{"s":20000000,"c":20,"nb":5,"ms":20000000,"v":20000,"g":[],"n":"Ngoại Điện","o":true},{"s":20000000,"c":100,"nb":4,"ms":40000000,"v":20000,"g":[0,1,2,3],"n":"Nội điện","o":true},{"s":50000000,"c":100,"nb":2,"ms":50000000,"v":20000,"g":[],"n":"Phủ đệ","o":false}]}
17 Apr 2025 | 17:53:57,882 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> UserCountCmd 4728208 : {"c":"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0"}
17 Apr 2025 | 17:53:57,883 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.EHActor | null | cacheVersionClientUser 4728208 - v: 326 - blockTime: 0 - bv: 1.0.7_charge_0_Desktop
17 Apr 2025 | 17:53:57,884 | INFO  | application-akka.actor.default-dispatcher-9 | sd.EHActor | null | client-type-unknown: unity-desktopc10
17 Apr 2025 | 17:53:57,905 | INFO  | application-akka.actor.default-dispatcher-6 | sd.EHActor | null | 4728208 joinZone
17 Apr 2025 | 17:53:57,931 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> BuddyInitCmd 4728208 : {"ru":[],"rn":[],"m":200,"ur":[],"yf":[]}
17 Apr 2025 | 17:53:57,935 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> StickerTicketRemain 4728208 : {"q":146}
17 Apr 2025 | 17:53:57,936 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> StickerTicketDataCmd 4728208 : {"d":[{"e":-1,"id":0},{"e":-1,"id":1}]}
17 Apr 2025 | 17:53:57,938 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> PetDataCmd 4728208 : {"lp":[{"ip":5,"id":1,"et":-1},{"ip":4,"id":1,"et":-1}]}
17 Apr 2025 | 17:53:57,940 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> TourCfgCmd 4728208 : {"p":300,"r":0,"c":1744995600,"t":0,"d":120,"e":54483,"f":1000000,"g":false,"j":true,"m":4,"o":1744941600}
17 Apr 2025 | 17:53:57,943 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> MultiTourCfgCmd 4728208 : {"v":[{"p":1800,"r":0,"c":1747472400,"t":2,"d":120,"e":2583483,"f":10000000,"g":false,"j":false,"m":10,"o":1747470600},{"p":1800,"r":0,"c":1747475400,"t":2,"d":120,"e":2586483,"f":10000000,"g":false,"j":false,"m":10,"o":1747473600}]}
17 Apr 2025 | 17:53:57,949 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> FeatureCfgCmd 4728208 : {"l":[{"s":1674143412,"e":1674143412,"i":48},{"s":1674143412,"e":1674143412,"i":50}]}
17 Apr 2025 | 17:53:57,992 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> UserTeaseCmd 4728208 : {"datas":[{"r":0,"id":0},{"r":0,"id":1},{"r":0,"id":9},{"r":0,"id":3},{"r":0,"id":8}]}
17 Apr 2025 | 17:53:57,997 | DEBUG | scala-execution-context-global-87 | sd.cmd.Cmd | null | -> TeaseConfigCmd 4728208 : {"t":5,"ls":50,"i":[{"p":0.1,"s":1,"f":1,"id":0,"uc":true},{"p":0.1,"s":1,"f":1,"id":1,"uc":true},{"p":0.1,"s":2,"f":0,"id":2,"uc":false},{"p":0.1,"s":0,"f":0,"id":3,"uc":false},{"p":0.1,"s":0,"f":0,"id":4,"uc":false},{"p":0.1,"s":0,"f":0,"id":5,"uc":false},{"p":0.1,"s":0,"f":0,"id":6,"uc":false},{"p":0.1,"s":0,"f":0,"id":7,"uc":false},{"p":0,"s":3,"f":0,"id":8,"uc":true},{"p":0,"s":3,"f":0,"id":9,"uc":true}]}
17 Apr 2025 | 17:53:58,032 | INFO  | application-akka.actor.default-dispatcher-12 | sd.cluster.EnableFeaturesHandler | null | 4728208: enableChallenge =false
17 Apr 2025 | 17:54:03,556 | DEBUG | application-akka.actor.default-dispatcher-6 | sd.SD | null | <- FlashSaleTriggerReq  4728208  {}
17 Apr 2025 | 17:54:03,557 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi | null | Room joined: [ Room: 0_0, Id: 1, Group: 0_0, isGame: false ], { Zone: sfsak }, ( User Name: 4728208, Id: 0, Priv: 0, Sess: 171.241.27.183:59748 ) , asSpect: false
17 Apr 2025 | 17:54:03,561 | DEBUG | application-akka.actor.default-dispatcher-11 | sd.RHActor | null | RHActor send message FlashSaleTriggerReq, uid 4728208
17 Apr 2025 | 17:54:03,561 | DEBUG | application-akka.actor.default-dispatcher-11 | sd.cluster.CoinSyncActor | null | receive FlashSaleTriggerReq in coinSyncActor, uid 4728208
17 Apr 2025 | 17:54:03,562 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cb.ForeignCurrencyOps | null | sd-cb ForeignCurrencyOps triggerFlashSale, uid 4728208, msg User 4728208 trigger flash sale, msg = null
17 Apr 2025 | 17:54:03,569 | DEBUG | application-akka.actor.default-dispatcher-11 | sd.cmd.Cmd | null | -> NotifyJoinCmd  : {"a":[0,"thidinh4",12621836570]}
17 Apr 2025 | 17:54:03,562 | INFO  | application-akka.actor.default-dispatcher-9 | sd.cluster.CoinSyncActor | null | game-server triggerFlashSale
17 Apr 2025 | 17:54:03,613 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.CoinSyncActor | null | uid 4728208,flashSaleLastShow 1744887243
17 Apr 2025 | 17:54:03,613 | INFO  | application-akka.actor.default-dispatcher-10 | sd.cluster.CoinSyncActor | null | uid 4728208,flashSale 0
17 Apr 2025 | 17:54:04,054 | INFO  | application-akka.actor.default-dispatcher-6 | sd.usercount.UserCountActor | null | userCount 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0
17 Apr 2025 | 17:54:04,054 | INFO  | application-akka.actor.default-dispatcher-6 | sd.usercount.UserCountActor | null | userCount 1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0
17 Apr 2025 | 17:54:36,647 | INFO  | Scheduler1-thread-1 | bitswarm.sessions.DefaultSessionManager | null | Session removed: { Id: 1, Type: WEBSOCKET, Logged: No, IP: 171.241.27.183:59741 }
17 Apr 2025 | 17:54:36,648 | INFO  | Scheduler1-thread-1 | bitswarm.sessions.DefaultSessionManager | null | Session removed: { Id: 2, Type: WEBSOCKET, Logged: No, IP: 171.241.27.183:59747 }
17 Apr 2025 | 17:54:46,473 | INFO  | application-akka.actor.default-dispatcher-11 | sd.mailBox.MailBoxActor | null | DelayDeleteMailExpired 21914
17 Apr 2025 | 17:55:02,623 | INFO  | application-akka.actor.default-dispatcher-6 | sd.events.RuongThanTaiActor | null | 1744912200
17 Apr 2025 | 17:55:02,666 | INFO  | application-akka.actor.default-dispatcher-6 | sd.events.RuongThanTaiActor | null | AfterUpdate: CoinToDay => 0
17 Apr 2025 | 17:55:02,739 | DEBUG | application-akka.actor.default-dispatcher-6 | sd.cmd.Cmd | null | -> EventNoticeBaseCmd enb : {"p":0,"b":0,"u":0,"e":43,"m":""}
17 Apr 2025 | 17:55:02,938 | DEBUG | application-akka.actor.default-dispatcher-11 | sd.cmd.Cmd | null | -> EventNoticeBaseCmd enb : {"p":0,"b":0,"u":0,"e":43,"m":""}
17 Apr 2025 | 17:55:46,654 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask | null | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
17 Apr 2025 | 17:55:46,654 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask | null | CCU stats: { Zone: sfsak }, CCU: 0/1
17 Apr 2025 | 17:55:46,654 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask | null | CCU stats: CCU: 0/1
17 Apr 2025 | 17:56:04,074 | INFO  | application-akka.actor.default-dispatcher-11 | sd.usercount.UserCountActor | null | userCount 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0
17 Apr 2025 | 17:56:04,074 | INFO  | application-akka.actor.default-dispatcher-11 | sd.usercount.UserCountActor | null | userCount 1,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0;0,0,0,0;0,0,0,0,0;0,0,0,0,0;0,0,0,0;0
17 Apr 2025 | 17:56:47,979 | INFO  | application-akka.actor.default-dispatcher-11 | akka.actor.RepointableActorRef | null | Message [com.sandinh.paho.akka.Message] from Actor[akka://application/user/mqtt/login1#-749259916] to Actor[akka://application/user/loginPrevent#208731153] was unhandled. [4] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
17 Apr 2025 | 17:56:48,412 | INFO  | application-akka.actor.default-dispatcher-6 | sd.cluster.EnableFeaturesHandler | null | 4728208: enableChallenge =false
