08 Apr 2025 | 17:13:00,187 | INFO  | application-akka.actor.default-dispatcher-12 | sd.free.FreeCoinActor | null | Get ads remain per device 707853412 1B5B35BA-3AE0-74CD-095B-00000000D9DB LimitAdsPerDevice(1744107180,15)
08 Apr 2025 | 17:13:00,187 | DEBUG | application-akka.actor.default-dispatcher-16 | sd.cmd.Cmd | null | -> RemainAdsByDeviceCmd 707853412 : {"r":15}
08 Apr 2025 | 17:13:00,265 | INFO  | application-akka.actor.default-dispatcher-22 | sd.cluster.EnableFeaturesHandler | null | 707853412: enableChallenge =false
08 Apr 2025 | 17:13:00,384 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.SD | null | <- GetProgressTTDataReq  707853412  {}
08 Apr 2025 | 17:13:23,765 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi | null | Room joined: [ Room: 0_0, Id: 1, Group: 0_0, isGame: false ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: false
08 Apr 2025 | 17:13:23,766 | DEBUG | application-akka.actor.default-dispatcher-9 | sd.cmd.Cmd | null | -> SuggestCmd 707853412 : {"r":2,"b":2,"c":[52100,37800],"s":1000,"g":0,"z":0,"m":4,"n":["Hoang150183","quockhanh2014"]}
08 Apr 2025 | 17:13:25,802 | DEBUG | application-akka.actor.default-dispatcher-16 | sd.SD | null | <- JoinReq  707853412  {"v":[0,0,12]}
08 Apr 2025 | 17:13:25,803 | INFO  | application-akka.actor.default-dispatcher-23 | v2.api.SFSApi | null | Room joined: [ SFSGame: 0_0_12, Id: 24734, Group: 0_0, public: true, minPlayers: 2 ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: true
08 Apr 2025 | 17:13:25,804 | DEBUG | application-akka.actor.default-dispatcher-16 | sd.EHActor | null | 707853412 leavedRoom 0_0 sessionRoom 171.241.49.67:56031 durationRoom 2038
08 Apr 2025 | 17:13:25,804 | DEBUG | application-akka.actor.default-dispatcher-18 | board.fsm.BoardFSM | null | 0_0_12 spectator 707853412 joined
08 Apr 2025 | 17:13:25,804 | DEBUG | application-akka.actor.default-dispatcher-23 | sd.cmd.Cmd | null | -> ResumeCmd 707853412 : {"s":"Sumupped","v":[{"p":[19,13,24,7,14,26,7,0,6,27,9,8,11,25,22,12,29,13,23,7,16,13,8,29,18,15,20,6,10,20,22,26,16,27,22,19,29,18,0,18,9,10,21,15,21,8,23,26,6,11,25,0,27,11,25,19,17,21,9,8,24,6,14,11,17,12,28,15,28,10,25,23,16,27,23,20,16,17,24,28,15,29,18,13,9,12,22,7,28,0,21,12,14,26,10,24,19,17,20,14]},{"p":1,"s":3},{"c":27,"t":4,"u":0,"i":0},{"c":27,"t":1,"u":1,"i":1},{"c":23,"t":4,"u":1,"i":2},{"c":20,"t":0,"u":2,"i":3},{"c":20,"t":1,"u":2,"i":4},{"c":8,"t":4,"u":2,"i":5},{"c":8,"t":1,"u":0,"i":6},{"c":25,"t":4,"u":0,"i":7},{"c":17,"t":0,"u":1,"i":8},{"c":17,"t":1,"u":1,"i":9},{"c":15,"t":4,"u":1,"i":10},{"c":15,"t":1,"u":2,"i":11},{"c":13,"t":4,"u":2,"i":12},{"c":19,"t":0,"u":0,"i":13},{"c":19,"t":3,"u":0,"i":14},{"c":24,"t":0,"u":1,"i":15},{"a":15,"b":15,"u":1}]}
08 Apr 2025 | 17:13:26,088 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.SD | null | <- UserPauseGameReq  707853412  {"b":false,"t":1744107205}
